analysis,a detailed investigation of the parts of something
approach,a way of considering or doing something
area,"a subject or specialization, or part of it"
assessment,when you decide the value or quality of something
assume,accept something to be true without questioning it
authority,an expert on a subject
available,able to be used
benefit,an advantage or good effect
concept,an abstract or general idea
consistent,in agreement with expectations or other facts
constitutional,relating to the laws and principles of a government
context,the situation in which something exists or happens
contract,a legal agreement between people or groups
create,to make something new or invent something
data,information from which conclusions may be drawn
definition,an explanation of a word or phrase
derived,formed or developed from something else
distribution,the way in which things or people are spread about
economic,relating to money or trade
environment,the conditions one lives in and their effects
established,conventional or conforming to accepted standards
estimate,"a guess of the size, number or amount of something"
evidence,one or more reasons for believing something
export,to send goods to another country
factors,facts which contribute to the result of something
financial,relating to the management of money
formula,a standard way of making or doing something
function,"the purpose of something, or the duty of a person"
identified,recognized something by saying what it is
income,money earned by doing work or gained by investing
indicate,"to show, point out, or make clear"
individual,a single person or thing when compared to a group
interpretation,an explanation or opinion of what something means
involved,complicated or difficult to understand
issues,problems that people are thinking or talking about
labor,practical work which involves physical effort
legal,related to or allowed by law
legislation,a law or laws created by a government
major,more important than others of the same type
method,a way of doing something
occur,"to happen, often naturally or unexpectedly"
percent,in proportion to a hundred
period,any length of time
policy,an established practice or plan of what to do
principal,"the first, main, or most important"
procedure,a course of action intended to achieve a result
process,a series of actions taken to achieve a result
required,needed or made necessary
research,a detailed study of a subject
response,an answer or reaction to a question or statement
role,a function or part performed in a specific process
section,a distinct part of something
sector,a geographic or economic area
significant,"noticeable, meaningful or important"
similar,almost but not exactly the same
source,the cause of something or place it comes from
specific,relating to one thing and not others
structure,the way parts of a system or object are arranged
theory,an organized system of accepted knowledge
variable,one among a group of things which may change
achieve,to succeed in reaching a target or aim
acquisition,the process of getting something
administration,a method of managing the affairs of an organization
affect,to influence or cause something to change
appropriate,suitable or right for a particular purpose or situation
aspects,"the parts of a problem, situation or task"
assistance,an act of helping to complete a task
categories,the groups by which something is classified
chapter,a part of a book or period of time
commission,a special group chosen to consider something
community,a social group of people who live in a particular area
